# C++ stretching benchmark, one thread; Pixel 5a, Android 14, SM7250, cpu mask 40 (budget column: desktop 10 ms); compiler Android (15422139, +pgo, +bolt, +lto, +mlgo, based on r574158b) Clang 21.0.0 (https://android.googlesource.com/toolchain/llvm-project 9f872551d3c681d06fd303b36f16ed5c274735eb); flags Release -g -DANDROID -fdata-sections -ffunction-sections -funwind-tables -fstack-protector-strong -no-canonical-prefixes -D_FORTIFY_SOURCE=2 -Wformat -Werror=format-security   -O3 -DNDEBUG 
# check value, 20 zero bytes, C = 2^14: f04a24e8db9c3d750e54d1c0f0224e0da795606a1e0a4af97b20b2015307f94b
log2_c	c	addresses	mean_ms	median_ms	min_ms	max_ms	ns_per_compression	budget_10ms
12	4096	200	3.296	3.293	3.287	3.339	401.7	within
13	8192	200	6.588	6.590	6.578	6.601	402.0	within
14	16384	200	13.176	13.172	13.148	14.080	401.9	over
15	32768	200	26.348	26.344	26.305	26.843	401.9	over
16	65536	200	52.679	52.685	52.611	53.563	401.9	over
